 Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Year
 1881 ,-79  ,-64  ,-37  ,-28  ,-5   ,-113 ,-54  ,-26  ,-37  ,-51  ,-59  ,-16  ,-47  ,-51  ,-66  ,-23  ,-64  ,-49  ,1881 
 1882 ,9    ,-14  ,-10  ,-60  ,-38  ,-103 ,-71  ,-13  ,-9   ,-33  ,-41  ,-68  ,-37  ,-33  ,-7   ,-36  ,-62  ,-27  ,1882 
 1883 ,-69  ,-96  ,-46  ,-32  ,-36  ,43   ,-2   ,-18  ,-47  ,-59  ,-71  ,-40  ,-39  ,-42  ,-78  ,-38  ,8    ,-59  ,1883 
 1884 ,-62  ,-37  ,-41  ,-96  ,-121 ,-84  ,-86  ,13   ,-38  ,-80  ,-83  ,-101 ,-68  ,-63  ,-46  ,-86  ,-52  ,-67  ,1884 
 1885 ,-92  ,-79  ,-91  ,-87  ,-49  ,-93  ,-61  ,-16  ,-15  ,-3   ,-39  ,2    ,-52  ,-61  ,-91  ,-76  ,-57  ,-19  ,1885 
 1886 ,-77  ,-82  ,-69  ,-64  ,-57  ,-85  ,-40  ,-75  ,-43  ,-87  ,-51  ,-75  ,-67  ,-61  ,-52  ,-63  ,-66  ,-60  ,1886 
 1887 ,-87  ,-128 ,-59  ,-85  ,-87  ,-67  ,-41  ,-27  ,-63  ,-54  ,-93  ,-67  ,-72  ,-72  ,-97  ,-77  ,-45  ,-70  ,1887 
 1888 ,-80  ,-87  ,-96  ,-36  ,-80  ,-60  ,-40  ,-40  ,-46  ,-32  ,-11  ,-21  ,-52  ,-56  ,-78  ,-71  ,-47  ,-30  ,1888 
 1889 ,-32  ,12   ,2    ,8    ,6    ,-34  ,-45  ,-65  ,-41  ,-25  ,-49  ,-43  ,-26  ,-24  ,-14  ,5    ,-48  ,-39  ,1889 
 1890 ,-65  ,-65  ,-65  ,-55  ,-95  ,-62  ,-61  ,-63  ,-37  ,-31  ,-82  ,-56  ,-61  ,-60  ,-58  ,-71  ,-62  ,-50  ,1890 
 1891 ,-99  ,-107 ,-56  ,-72  ,-52  ,-61  ,-77  ,-62  ,-54  ,-62  ,-60  ,-2   ,-64  ,-68  ,-87  ,-60  ,-67  ,-59  ,1891 
 1892 ,-67  ,-36  ,-63  ,-75  ,-70  ,-60  ,-42  ,-31  ,-50  ,-38  ,-67  ,-64  ,-55  ,-50  ,-35  ,-69  ,-44  ,-52  ,1892 
 1893 ,-146 ,-104 ,-63  ,-70  ,-77  ,-71  ,-18  ,-39  ,-30  ,-14  ,-18  ,-41  ,-58  ,-60  ,-105 ,-70  ,-43  ,-21  ,1893 
 1894 ,-90  ,-67  ,-44  ,-70  ,-71  ,-52  ,-41  ,-36  ,-47  ,-13  ,-20  ,-21  ,-48  ,-49  ,-66  ,-62  ,-43  ,-27  ,1894 
 1895 ,-72  ,-82  ,-54  ,-50  ,-34  ,-31  ,-56  ,-22  ,-17  ,-13  ,-20  ,-11  ,-38  ,-39  ,-58  ,-46  ,-37  ,-16  ,1895 
 1896 ,-26  ,-33  ,-56  ,-50  ,-49  ,-49  ,-24  ,-42  ,-14  ,-6   ,-47  ,-24  ,-35  ,-34  ,-23  ,-51  ,-38  ,-22  ,1896 
 1897 ,-28  ,-55  ,-34  ,-15  ,-31  ,-21  ,-15  ,-35  ,-19  ,-26  ,-5   ,-27  ,-26  ,-26  ,-36  ,-26  ,-24  ,-17  ,1897 
 1898 ,-16  ,-48  ,-83  ,-58  ,-66  ,-33  ,-38  ,-27  ,-6   ,-44  ,-51  ,-25  ,-41  ,-42  ,-31  ,-69  ,-33  ,-34  ,1898 
 1899 ,-46  ,-63  ,-42  ,-29  ,-45  ,-58  ,-32  ,-32  ,-4   ,-30  ,-6   ,-26  ,-34  ,-34  ,-45  ,-39  ,-41  ,-13  ,1899 
 1900 ,-58  ,-9   ,-22  ,-20  ,-21  ,-16  ,-40  ,-21  ,-11  ,11   ,-15  ,-10  ,-19  ,-21  ,-31  ,-21  ,-26  ,-5   ,1900 
 1901 ,-29  ,-15  ,-15  ,-13  ,-25  ,-3   ,-30  ,-27  ,-2   ,-24  ,-19  ,-28  ,-19  ,-18  ,-18  ,-18  ,-20  ,-15  ,1901 
 1902 ,-36  ,-7   ,-22  ,-23  ,-35  ,-40  ,-49  ,-55  ,-45  ,-49  ,-54  ,-61  ,-40  ,-37  ,-24  ,-27  ,-48  ,-49  ,1902 
 1903 ,-39  ,-18  ,-22  ,-60  ,-49  ,-68  ,-35  ,-48  ,-45  ,-54  ,-52  ,-66  ,-46  ,-46  ,-39  ,-44  ,-50  ,-51  ,1903 
 1904 ,-83  ,-80  ,-59  ,-49  ,-68  ,-53  ,-65  ,-54  ,-48  ,-57  ,-31  ,-45  ,-58  ,-59  ,-77  ,-59  ,-57  ,-45  ,1904 
 1905 ,-45  ,-102 ,-26  ,-33  ,-39  ,-33  ,-46  ,-31  ,-25  ,-39  ,-10  ,-28  ,-38  ,-40  ,-64  ,-33  ,-37  ,-25  ,1905 
 1906 ,-20  ,-38  ,-36  ,3    ,-23  ,-26  ,-26  ,-21  ,-32  ,-21  ,-56  ,-29  ,-27  ,-27  ,-29  ,-19  ,-24  ,-37  ,1906 
 1907 ,-52  ,-72  ,-49  ,-64  ,-63  ,-70  ,-45  ,-58  ,-41  ,-37  ,-64  ,-69  ,-57  ,-54  ,-51  ,-59  ,-57  ,-47  ,1907 
 1908 ,-40  ,-36  ,-55  ,-49  ,-36  ,-47  ,-42  ,-43  ,-19  ,-43  ,-63  ,-44  ,-43  ,-45  ,-48  ,-47  ,-44  ,-42  ,1908 
 1909 ,-83  ,-62  ,-53  ,-64  ,-62  ,-47  ,-39  ,-14  ,-23  ,-22  ,-20  ,-58  ,-46  ,-44  ,-63  ,-60  ,-33  ,-22  ,1909 
 1910 ,-51  ,-43  ,-50  ,-36  ,-30  ,-38  ,-26  ,-17  ,-13  ,-34  ,-57  ,-70  ,-39  ,-38  ,-51  ,-39  ,-27  ,-35  ,1910 
 1911 ,-70  ,-70  ,-65  ,-56  ,-42  ,-42  ,-20  ,-28  ,-28  ,-20  ,-17  ,-29  ,-41  ,-44  ,-70  ,-54  ,-30  ,-22  ,1911 
 1912 ,-23  ,-16  ,-45  ,-32  ,-22  ,-29  ,-52  ,-65  ,-37  ,-50  ,-47  ,-35  ,-38  ,-37  ,-23  ,-33  ,-49  ,-45  ,1912 
 1913 ,-47  ,-52  ,-61  ,-34  ,-66  ,-63  ,-26  ,-22  ,-22  ,-32  ,-19  ,2    ,-37  ,-40  ,-45  ,-54  ,-37  ,-24  ,1913 
 1914 ,10   ,-9   ,-9   ,-23  ,-5   ,-10  ,-24  ,-11  ,-11  ,9    ,-37  ,-26  ,-12  ,-10  ,1    ,-12  ,-15  ,-13  ,1914 
 1915 ,-23  ,-1   ,-11  ,-7   ,-26  ,-24  ,1    ,-21  ,-2   ,-11  ,2    ,-15  ,-12  ,-12  ,-17  ,-15  ,-15  ,-4   ,1915 
 1916 ,-14  ,-17  ,-46  ,-33  ,-38  ,-52  ,-39  ,-14  ,-20  ,-17  ,-43  ,-85  ,-35  ,-29  ,-15  ,-39  ,-35  ,-27  ,1916 
 1917 ,-55  ,-79  ,-85  ,-58  ,-83  ,-48  ,-2   ,-41  ,-35  ,-53  ,-37  ,-94  ,-56  ,-55  ,-73  ,-76  ,-31  ,-42  ,1917 
 1918 ,-66  ,-65  ,-53  ,-58  ,-81  ,-47  ,-50  ,-52  ,-21  ,-1   ,-28  ,-37  ,-47  ,-51  ,-75  ,-64  ,-50  ,-17  ,1918 
 1919 ,-32  ,-31  ,-18  ,-19  ,-20  ,-21  ,-13  ,-12  ,-24  ,-11  ,-48  ,-34  ,-23  ,-24  ,-33  ,-19  ,-15  ,-27  ,1919 
 1920 ,-15  ,-35  ,-21  ,-25  ,-36  ,-42  ,-25  ,-19  ,-19  ,-48  ,-38  ,-52  ,-31  ,-30  ,-28  ,-27  ,-29  ,-35  ,1920 
 1921 ,-6   ,-22  ,-16  ,-22  ,-24  ,-14  ,-3   ,-49  ,-18  ,-15  ,-33  ,-21  ,-20  ,-23  ,-27  ,-21  ,-22  ,-22  ,1921 
 1922 ,-41  ,-48  ,-34  ,-13  ,-41  ,-35  ,-7   ,-29  ,-17  ,-30  ,-15  ,-19  ,-27  ,-28  ,-37  ,-30  ,-24  ,-21  ,1922 
 1923 ,-29  ,-28  ,-25  ,-52  ,-35  ,-31  ,-53  ,-40  ,-34  ,-13  ,-6   ,-11  ,-30  ,-30  ,-25  ,-37  ,-41  ,-18  ,1923 
 1924 ,-30  ,-45  ,-16  ,-54  ,-30  ,-19  ,-20  ,-19  ,-13  ,-17  ,-11  ,-29  ,-25  ,-24  ,-29  ,-33  ,-19  ,-14  ,1924 
 1925 ,-45  ,-38  ,-30  ,-19  ,-38  ,-44  ,-43  ,-12  ,-32  ,-39  ,-5   ,13   ,-28  ,-31  ,-38  ,-29  ,-33  ,-26  ,1925 
 1926 ,22   ,27   ,19   ,-15  ,-39  ,-25  ,-19  ,-1   ,-1   ,-15  ,-1   ,-28  ,-6   ,-3   ,21   ,-12  ,-15  ,-6   ,1926 
 1927 ,-21  ,-19  ,-38  ,-39  ,-33  ,-29  ,-7   ,-29  ,-12  ,11   ,7    ,-27  ,-20  ,-20  ,-22  ,-37  ,-22  ,2    ,1927 
 1928 ,2    ,-4   ,-13  ,-11  ,-42  ,-58  ,-9   ,-7   ,-1   ,-7   ,4    ,-8   ,-13  ,-14  ,-10  ,-22  ,-24  ,-2   ,1928 
 1929 ,-31  ,-51  ,-38  ,-45  ,-44  ,-47  ,-39  ,-40  ,-22  ,-1   ,-7   ,-61  ,-36  ,-31  ,-30  ,-43  ,-42  ,-10  ,1929 
 1930 ,-24  ,-21  ,-10  ,-22  ,-18  ,-23  ,-22  ,-20  ,-13  ,-32  ,8    ,-8   ,-17  ,-21  ,-35  ,-17  ,-22  ,-12  ,1930 
 1931 ,-15  ,-28  ,-7   ,-29  ,-20  ,-10  ,5    ,8    ,-18  ,1    ,-20  ,7    ,-10  ,-12  ,-17  ,-19  ,1    ,-12  ,1931 
 1932 ,32   ,-28  ,-20  ,5    ,-19  ,-45  ,-23  ,-20  ,4    ,6    ,-13  ,-17  ,-11  ,-9   ,4    ,-12  ,-29  ,-1   ,1932 
 1933 ,-35  ,-25  ,-25  ,-21  ,-14  ,-28  ,-12  ,-22  ,-12  ,-10  ,-39  ,-56  ,-25  ,-22  ,-26  ,-20  ,-21  ,-21  ,1933 
 1934 ,-15  ,-13  ,-36  ,-37  ,0    ,-18  ,-1   ,5    ,-9   ,-8   ,3    ,6    ,-10  ,-15  ,-28  ,-24  ,-5   ,-5   ,1934 
 1935 ,-35  ,21   ,2    ,-51  ,-36  ,-23  ,-29  ,-25  ,-40  ,-8   ,-34  ,-19  ,-23  ,-21  ,-3   ,-28  ,-26  ,-27  ,1935 
 1936 ,-29  ,-43  ,-18  ,-4   ,-30  ,-18  ,21   ,-1   ,-2   ,0    ,1    ,10   ,-10  ,-12  ,-31  ,-17  ,0    ,0    ,1936 
 1937 ,-9   ,5    ,-22  ,-19  ,-2   ,-4   ,-13  ,4    ,21   ,19   ,27   ,-8   ,0    ,1    ,2    ,-14  ,-4   ,22   ,1937 
 1938 ,-1   ,-2   ,20   ,26   ,7    ,-12  ,0    ,-10  ,9    ,31   ,10   ,-11  ,6    ,6    ,-4   ,18   ,-7   ,17   ,1938 
 1939 ,-3   ,-19  ,-38  ,-18  ,-1   ,-11  ,-15  ,-27  ,-17  ,-11  ,-20  ,30   ,-13  ,-16  ,-11  ,-19  ,-18  ,-16  ,1939 
 1940 ,-23  ,1    ,5    ,-1   ,5    ,17   ,19   ,6    ,16   ,2    ,3    ,21   ,6    ,7    ,3    ,3    ,14   ,7    ,1940 
 1941 ,-1   ,16   ,-15  ,-2   ,7    ,11   ,25   ,2    ,-22  ,7    ,-9   ,0    ,1    ,3    ,12   ,-4   ,13   ,-8   ,1941 
 1942 ,19   ,-6   ,-6   ,-6   ,-1   ,4    ,2    ,7    ,4    ,-4   ,8    ,2    ,2    ,2    ,4    ,-5   ,4    ,3    ,1942 
 1943 ,-24  ,0    ,-18  ,-2   ,-12  ,-13  ,6    ,-21  ,1    ,24   ,4    ,15   ,-3   ,-4   ,-7   ,-11  ,-9   ,10   ,1943 
 1944 ,28   ,9    ,6    ,-10  ,-10  ,-9   ,1    ,2    ,21   ,19   ,-3   ,-22  ,3    ,6    ,17   ,-5   ,-2   ,12   ,1944 
 1945 ,-3   ,-17  ,-5   ,10   ,-30  ,-32  ,-24  ,17   ,2    ,2    ,-11  ,-39  ,-11  ,-9   ,-14  ,-8   ,-13  ,-2   ,1945 
 1946 ,-3   ,-9   ,-18  ,0    ,-3   ,-22  ,-1   ,-10  ,-2   ,-18  ,-11  ,-33  ,-11  ,-11  ,-17  ,-7   ,-11  ,-11  ,1946 
 1947 ,-14  ,0    ,15   ,10   ,-4   ,0    ,-7   ,-2   ,0    ,22   ,20   ,-17  ,2    ,0    ,-16  ,7    ,-3   ,14   ,1947 
 1948 ,19   ,-17  ,-30  ,-14  ,0    ,1    ,-19  ,-22  ,-3   ,-5   ,-21  ,-20  ,-11  ,-11  ,-5   ,-15  ,-14  ,-9   ,1948 
 1949 ,1    ,-38  ,-9   ,-27  ,-15  ,-19  ,-11  ,-13  ,-8   ,-1   ,-8   ,-16  ,-14  ,-14  ,-19  ,-17  ,-15  ,-6   ,1949 
 1950 ,-30  ,-34  ,-9   ,-24  ,-23  ,-11  ,-14  ,-34  ,-19  ,-23  ,-43  ,-19  ,-24  ,-23  ,-27  ,-19  ,-20  ,-28  ,1950 
 1951 ,-39  ,-48  ,-18  ,-6   ,2    ,-7   ,-6   ,8    ,6    ,-1   ,-7   ,11   ,-9   ,-11  ,-35  ,-7   ,-2   ,-1   ,1951 
 1952 ,6    ,8    ,-20  ,-10  ,-15  ,-12  ,2    ,7    ,11   ,-4   ,-23  ,-7   ,-5   ,-3   ,8    ,-15  ,-1   ,-5   ,1952 
 1953 ,8    ,4    ,12   ,6    ,-6   ,-1   ,-6   ,9    ,6    ,3    ,-1   ,12   ,4    ,2    ,2    ,4    ,1    ,3    ,1953 
 1954 ,-32  ,-11  ,-13  ,-16  ,-21  ,-22  ,-28  ,-20  ,-19  ,-1   ,16   ,-12  ,-15  ,-13  ,-10  ,-17  ,-23  ,-1   ,1954 
 1955 ,21   ,-12  ,-39  ,-19  ,-19  ,-18  ,-16  ,11   ,-14  ,0    ,-26  ,-31  ,-14  ,-12  ,-1   ,-26  ,-8   ,-13  ,1955 
 1956 ,-24  ,-31  ,-33  ,-28  ,-30  ,-10  ,-12  ,-33  ,-13  ,-24  ,-22  ,-19  ,-23  ,-24  ,-29  ,-30  ,-18  ,-20  ,1956 
 1957 ,-14  ,-7   ,-10  ,0    ,-1   ,13   ,-13  ,13   ,11   ,0    ,12   ,18   ,2    ,-1   ,-13  ,-4   ,4    ,7    ,1957 
 1958 ,38   ,24   ,18   ,10   ,12   ,-18  ,5    ,-10  ,-8   ,9    ,8    ,-7   ,7    ,9    ,27   ,13   ,-8   ,3    ,1958 
 1959 ,4    ,10   ,26   ,19   ,0    ,9    ,11   ,1    ,-11  ,-10  ,-8   ,10   ,5    ,4    ,3    ,15   ,7    ,-10  ,1959 
 1960 ,8    ,26   ,-46  ,-20  ,-15  ,-2   ,-11  ,8    ,8    ,13   ,-10  ,18   ,-2   ,-3   ,15   ,-27  ,-2   ,4    ,1960 
 1961 ,10   ,24   ,4    ,15   ,19   ,11   ,-1   ,6    ,16   ,9    ,7    ,-14  ,9    ,11   ,17   ,13   ,5    ,11   ,1961 
 1962 ,8    ,16   ,10   ,6    ,-11  ,4    ,-12  ,-8   ,-1   ,1    ,9    ,0    ,2    ,1    ,3    ,2    ,-6   ,3    ,1962 
 1963 ,-1   ,23   ,-24  ,-18  ,-13  ,2    ,6    ,18   ,22   ,9    ,5    ,-6   ,2    ,2    ,7    ,-18  ,9    ,12   ,1963 
 1964 ,-7   ,-16  ,-29  ,-36  ,-33  ,-13  ,-8   ,-30  ,-36  ,-34  ,-20  ,-34  ,-25  ,-22  ,-10  ,-32  ,-17  ,-30  ,1964 
 1965 ,-5   ,-18  ,-13  ,-28  ,-17  ,-17  ,-24  ,-8   ,-26  ,-8   ,-13  ,-19  ,-16  ,-18  ,-19  ,-20  ,-16  ,-16  ,1965 
 1966 ,-22  ,-4   ,15   ,-8   ,-10  ,-3   ,11   ,-10  ,-3   ,-26  ,-5   ,-7   ,-6   ,-7   ,-15  ,-1   ,0    ,-11  ,1966 
 1967 ,-9   ,-24  ,2    ,-10  ,17   ,-12  ,4    ,3    ,-1   ,12   ,1    ,1    ,-1   ,-2   ,-13  ,3    ,-1   ,4    ,1967 
 1968 ,-20  ,-15  ,34   ,-8   ,-17  ,-11  ,-12  ,-7   ,-27  ,5    ,-8   ,-21  ,-9   ,-7   ,-11  ,3    ,-10  ,-10  ,1968 
 1969 ,-16  ,-27  ,-9   ,11   ,16   ,4    ,-2   ,-9   ,1    ,8    ,9    ,35   ,2    ,-3   ,-21  ,6    ,-2   ,6    ,1969 
 1970 ,5    ,28   ,11   ,14   ,-5   ,13   ,9    ,-7   ,15   ,11   ,4    ,-10  ,7    ,11   ,23   ,7    ,5    ,10   ,1970 
 1971 ,-2   ,-15  ,-22  ,-6   ,-7   ,-20  ,-9   ,4    ,5    ,-1   ,-10  ,-5   ,-7   ,-8   ,-9   ,-11  ,-8   ,-2   ,1971 
 1972 ,-30  ,-29  ,-6   ,-5   ,0    ,9    ,7    ,19   ,7    ,-4   ,-5   ,16   ,-2   ,-4   ,-21  ,-4   ,12   ,-1   ,1972 
 1973 ,27   ,33   ,39   ,37   ,36   ,29   ,21   ,6    ,12   ,21   ,11   ,-1   ,23   ,24   ,25   ,37   ,19   ,15   ,1973 
 1974 ,-4   ,-23  ,0    ,-7   ,3    ,2    ,-2   ,13   ,-15  ,-7   ,-6   ,-4   ,-4   ,-4   ,-9   ,-1   ,5    ,-9   ,1974 
 1975 ,8    ,10   ,15   ,5    ,28   ,7    ,8    ,-26  ,-2   ,-4   ,-5   ,-21  ,2    ,3    ,5    ,16   ,-4   ,-4   ,1975 
 1976 ,-1   ,-8   ,-31  ,-22  ,-22  ,-17  ,-15  ,-21  ,-15  ,-37  ,-15  ,-2   ,-17  ,-19  ,-10  ,-25  ,-18  ,-22  ,1976 
 1977 ,14   ,23   ,32   ,31   ,31   ,33   ,31   ,30   ,-8   ,2    ,26   ,16   ,22   ,20   ,12   ,32   ,31   ,7    ,1977 
 1978 ,14   ,19   ,28   ,26   ,21   ,5    ,20   ,-15  ,16   ,6    ,17   ,12   ,14   ,14   ,17   ,25   ,3    ,13   ,1978 
 1979 ,19   ,-8   ,25   ,20   ,10   ,21   ,4    ,13   ,29   ,28   ,30   ,54   ,20   ,17   ,7    ,18   ,13   ,29   ,1979 
 1980 ,37   ,46   ,42   ,46   ,48   ,23   ,39   ,34   ,34   ,24   ,29   ,18   ,35   ,38   ,46   ,45   ,32   ,29   ,1980 
 1981 ,62   ,57   ,68   ,51   ,33   ,39   ,52   ,54   ,29   ,12   ,23   ,47   ,44   ,42   ,46   ,51   ,48   ,21   ,1981 
 1982 ,12   ,26   ,-2   ,3    ,25   ,5    ,18   ,10   ,11   ,2    ,11   ,42   ,14   ,14   ,28   ,9    ,11   ,8    ,1982 
 1983 ,50   ,40   ,48   ,41   ,50   ,29   ,21   ,46   ,57   ,36   ,34   ,18   ,39   ,41   ,44   ,46   ,32   ,42   ,1983 
 1984 ,25   ,16   ,38   ,17   ,48   ,7    ,18   ,28   ,27   ,23   ,11   ,2    ,22   ,23   ,20   ,35   ,18   ,20   ,1984 
 1985 ,31   ,2    ,26   ,21   ,23   ,26   ,2    ,35   ,26   ,15   ,10   ,15   ,19   ,18   ,12   ,24   ,21   ,17   ,1985 
 1986 ,38   ,51   ,39   ,43   ,34   ,13   ,15   ,20   ,2    ,12   ,12   ,19   ,25   ,25   ,35   ,39   ,16   ,9    ,1986 
 1987 ,43   ,53   ,25   ,39   ,30   ,56   ,60   ,27   ,35   ,35   ,30   ,56   ,41   ,38   ,39   ,31   ,48   ,33   ,1987 
 1988 ,66   ,48   ,61   ,49   ,62   ,60   ,44   ,56   ,54   ,53   ,16   ,38   ,51   ,52   ,57   ,57   ,53   ,41   ,1988 
 1989 ,26   ,44   ,44   ,42   ,19   ,14   ,47   ,51   ,53   ,44   ,22   ,39   ,37   ,37   ,36   ,35   ,37   ,40   ,1989 
 1990 ,52   ,41   ,85   ,65   ,56   ,45   ,61   ,41   ,30   ,51   ,53   ,46   ,52   ,51   ,44   ,69   ,49   ,45   ,1990 
 1991 ,50   ,61   ,47   ,72   ,43   ,68   ,63   ,56   ,62   ,34   ,32   ,32   ,52   ,53   ,52   ,54   ,62   ,43   ,1991 
 1992 ,50   ,43   ,53   ,23   ,27   ,29   ,8    ,14   ,-4   ,7    ,3    ,25   ,23   ,24   ,42   ,34   ,17   ,2    ,1992 
 1993 ,39   ,41   ,33   ,30   ,28   ,28   ,40   ,22   ,9    ,22   ,8    ,19   ,27   ,27   ,35   ,30   ,30   ,13   ,1993 
 1994 ,39   ,7    ,26   ,53   ,27   ,56   ,41   ,25   ,41   ,42   ,52   ,45   ,38   ,36   ,22   ,35   ,41   ,45   ,1994 
 1995 ,58   ,91   ,52   ,58   ,39   ,51   ,63   ,59   ,47   ,68   ,53   ,41   ,57   ,57   ,65   ,50   ,58   ,56   ,1995 
 1996 ,42   ,60   ,46   ,49   ,35   ,33   ,56   ,76   ,42   ,34   ,50   ,52   ,48   ,47   ,48   ,43   ,55   ,42   ,1996 
 1997 ,48   ,55   ,65   ,39   ,44   ,67   ,35   ,46   ,50   ,62   ,71   ,68   ,54   ,53   ,52   ,49   ,49   ,61   ,1997 
 1998 ,72   ,120  ,82   ,82   ,95   ,104  ,90   ,85   ,58   ,67   ,64   ,78   ,83   ,82   ,86   ,86   ,93   ,63   ,1998 
 1999 ,67   ,86   ,47   ,40   ,48   ,61   ,64   ,53   ,65   ,62   ,55   ,52   ,58   ,60   ,77   ,45   ,59   ,61   ,1999 
 2000 ,29   ,78   ,68   ,74   ,55   ,68   ,62   ,59   ,56   ,34   ,47   ,47   ,56   ,57   ,53   ,66   ,63   ,45   ,2000 
 2001 ,58   ,61   ,69   ,61   ,74   ,65   ,71   ,64   ,70   ,62   ,78   ,72   ,67   ,65   ,55   ,68   ,67   ,70   ,2001 
 2002 ,96   ,89   ,112  ,80   ,88   ,65   ,82   ,69   ,81   ,64   ,71   ,54   ,79   ,81   ,86   ,93   ,72   ,72   ,2002 
 2003 ,92   ,74   ,73   ,69   ,88   ,64   ,64   ,86   ,81   ,85   ,65   ,87   ,77   ,75   ,73   ,76   ,71   ,77   ,2003 
 2004 ,72   ,92   ,86   ,77   ,50   ,64   ,24   ,59   ,58   ,83   ,88   ,68   ,68   ,70   ,83   ,71   ,49   ,77   ,2004 
 2005 ,97   ,87   ,94   ,84   ,76   ,82   ,81   ,75   ,97   ,100  ,90   ,90   ,88   ,86   ,84   ,84   ,79   ,96   ,2005 
 2006 ,77   ,94   ,81   ,68   ,50   ,78   ,67   ,84   ,74   ,86   ,87   ,92   ,78   ,78   ,87   ,67   ,76   ,82   ,2006 
 2007 ,123  ,93   ,94   ,94   ,94   ,65   ,79   ,86   ,83   ,81   ,73   ,70   ,86   ,88   ,103  ,94   ,77   ,79   ,2007 
 2008 ,49   ,44   ,90   ,66   ,57   ,52   ,74   ,40   ,82   ,74   ,81   ,74   ,65   ,65   ,54   ,71   ,55   ,79   ,2008 
 2009 ,74   ,75   ,66   ,76   ,81   ,80   ,87   ,87   ,91   ,75   ,85   ,77   ,79   ,79   ,74   ,74   ,85   ,84   ,2009 
 2010 ,97   ,105  ,112  ,99   ,96   ,86   ,75   ,84   ,88   ,96   ,102  ,70   ,93   ,93   ,93   ,103  ,82   ,96   ,2010 
 2011 ,72   ,66   ,78   ,84   ,65   ,73   ,92   ,97   ,78   ,86   ,79   ,81   ,79   ,78   ,70   ,75   ,87   ,81   ,2011 
 2012 ,62   ,59   ,72   ,81   ,97   ,72   ,58   ,88   ,90   ,96   ,96   ,73   ,79   ,79   ,67   ,83   ,72   ,94   ,2012 
 2013 ,99   ,78   ,88   ,69   ,70   ,88   ,66   ,79   ,100  ,86   ,88   ,83   ,83   ,82   ,83   ,76   ,78   ,91   ,2013 
 2014 ,97   ,65   ,79   ,91   ,106  ,77   ,73   ,85   ,111  ,105  ,84   ,99   ,89   ,88   ,82   ,92   ,78   ,100  ,2014 
 2015 ,97   ,109  ,112  ,76   ,89   ,85   ,71   ,89   ,80   ,120  ,119  ,139  ,99   ,95   ,102  ,92   ,82   ,106  ,2015 
